422_122949_000000_000000	--Is this our mode?--From German heart came this vexed ululating?	--Is this our mode?--From German heart came this vexed ululating?	false	0	4.41	23.433294
422_122949_000014_000012	Alas, he who knows the heart finds out how poor, helpless, pretentious, and blundering even the best and deepest love is--he finds that it rather DESTROYS than saves!--It is possible that under the holy fable and travesty of the life of Jesus there is hidden one of the most painful cases of the martyrdom of KNOWLEDGE ABOUT LOVE: the martyrdom of the most innocent and most craving heart, that never had enough of any human love, that DEMANDED love, that demanded inexorably and frantically to be loved and nothing else, with terrible outbursts against those who refused him their love; the story of a poor soul insatiated and insatiable in love, that had to invent hell to send thither those who WOULD NOT love him--and that at last, enlightened about human love, had to invent a God who is entire love, entire CAPACITY for love--who takes pity on human love, because it is so paltry, so ignorant!	Alas, he who knows the heart finds out how poor, helpless, pretentious, and blundering even the best and deepest love is-he finds that it rather DESTROYS than saves!--It is possible that under the holy fable and travesty of the life of Jesus there is hidden one of the most painful cases of the martyrdom of KNOWLEDGE ABOUT LOVE: the martyrdom of the most innocent and most craving heart, that never had enough of any human love, that DEMANDED love, that demanded inexorably and frantically to be loved and nothing else, with terrible outbursts against those who refused him their love; the story of a poor soul insatiated and insatiable in love, that had to invent hell to send thither those who WOULD NOT love him-and that at last, enlightened about human love, had to invent a God who is entire love, entire CAPACITY for love-who takes pity on human love, because it is so paltry, so ignorant!	false	2446.53	2499.84	18
422_122949_000014_000013	He who has such sentiments, he who has such KNOWLEDGE about love--SEEKS for death!--But why should one deal with such painful matters?	He who has such sentiments, he who has such KNOWLEDGE about love-SEEKS for death!--But why should one deal with such painful matters?	false	2499.84	2507.85	16
422_122949_000014_000014	Provided, of course, that one is not obliged to do so.	Provided, of course, that one is not obliged to do so.	false	2507.85	2510.58	17
422_122949_000015_000000	270.	two hundred seventy.	false	2510.58	2511.87	9
422_122949_000015_000001	The intellectual haughtiness and loathing of every man who has suffered deeply--it almost determines the order of rank HOW deeply men can suffer--the chilling certainty, with which he is thoroughly imbued and coloured, that by virtue of his suffering he KNOWS MORE than the shrewdest and wisest can ever know, that he has been familiar with, and "at home" in, many distant, dreadful worlds of which "YOU know nothing"!--this silent intellectual haughtiness of the sufferer, this pride of the elect of knowledge, of the "initiated," of the almost sacrificed, finds all forms of disguise necessary to protect itself from contact with officious and sympathizing hands, and in general from all that is not its equal in suffering.	The intellectual haughtiness and loathing of every man who has suffered deeply-it almost determines the order of rank HOW deeply men can suffer-the chilling certainty, with which he is thoroughly imbued and coloured, that by virtue of his suffering he KNOWS MORE than the shrewdest and wisest can ever know, that he has been familiar with, and "at home" in, many distant, dreadful worlds of which "YOU know nothing"!--this silent intellectual haughtiness of the sufferer, this pride of the elect of knowledge, of the "initiated," of the almost sacrificed, finds all forms of disguise necessary to protect itself from contact with officious and sympathizing hands, and in general from all that is not its equal in suffering.	false	2511.87	2551.17	19
422_122949_000015_000002	Profound suffering makes noble: it separates.--One of the most refined forms of disguise is Epicurism, along with a certain ostentatious boldness of taste, which takes suffering lightly, and puts itself on the defensive against all that is sorrowful and profound.	Profound suffering makes noble: it separates.--One of the most refined forms of disguise is Epicurism, along with a certain ostentatious boldness of taste, which takes suffering lightly, and puts itself on the defensive against all that is sorrowful and profound.	false	2551.17	2563.95	17
422_122949_000015_000003	They are "gay men" who make use of gaiety, because they are misunderstood on account of it--they WISH to be misunderstood.	They are "gay men" who make use of gaiety, because they are misunderstood on account of it-they WISH to be misunderstood.	false	2563.95	2572.86	19
422_122949_000015_000004	There are "scientific minds" who make use of science, because it gives a gay appearance, and because scientificness leads to the conclusion that a person is superficial--they WISH to mislead to a false conclusion.	There are "scientific minds" who make use of science, because it gives a gay appearance, and because scientificness leads to the conclusion that a person is superficial-they WISH to mislead to a false conclusion.	false	2572.86	2584.26	18
422_122949_000015_000005	There are free insolent minds which would fain conceal and deny that they are broken, proud, incurable hearts (the cynicism of Hamlet--the case of Galiani); and occasionally folly itself is the mask of an unfortunate OVER-ASSURED knowledge.--From which it follows that it is the part of a more refined humanity to have reverence "for the mask," and not to make use of psychology and curiosity in the wrong place.	There are free insolent minds which would fain conceal and deny that they are broken, proud, incurable hearts (the cynicism of Hamlet-the case of Galiani); and occasionally folly itself is the mask of an unfortunate OVER ASSURED knowledge.--From which it follows that it is the part of a more refined humanity to have reverence "for the mask," and not to make use of psychology and curiosity in the wrong place.	false	2584.26	2608.08	21.157398
422_122949_000016_000000	271.	two hundred seventy one.	false	2608.08	2609.37	12
422_122949_000016_000001	That which separates two men most profoundly is a different sense and grade of purity.	That which separates two men most profoundly is a different sense and grade of purity.	false	2609.37	2613.96	19.801098
422_122949_000016_000002	What does it matter about all their honesty and reciprocal usefulness, what does it matter about all their mutual good-will: the fact still remains--they "cannot smell each other!" The highest instinct for purity places him who is affected with it in the most extraordinary and dangerous isolation, as a saint: for it is just holiness--the highest spiritualization of the instinct in question.	What does it matter about all their honesty and reciprocal usefulness, what does it matter about all their mutual good will: the fact still remains-they "cannot smell each other!" The highest instinct for purity places him who is affected with it in the most extraordinary and dangerous isolation, as a saint: for it is just holiness-the highest spiritualization of the instinct in question.	false	2613.96	2633.1	13
422_122949_000016_000003	Any kind of cognizance of an indescribable excess in the joy of the bath, any kind of ardour or thirst which perpetually impels the soul out of night into the morning, and out of gloom, out of "affliction" into clearness, brightness, depth, and refinement:--just as much as such a tendency DISTINGUISHES--it is a noble tendency--it also SEPARATES.--The pity of the saint is pity for the FILTH of the human, all-too-human. And there are grades and heights where pity itself is regarded by him as impurity, as filth.	Any kind of cognizance of an indescribable excess in the joy of the bath, any kind of ardour or thirst which perpetually impels the soul out of night into the morning, and out of gloom, out of "affliction" into clearness, brightness, depth, and refinement:--just as much as such a tendency DISTINGUISHES-it is a noble tendency-it also SEPARATES.--The pity of the saint is pity for the FILTH of the human, all too human. And there are grades and heights where pity itself is regarded by him as impurity, as filth.	false	2633.1	2664.48	19
422_122949_000017_000000	272.	two hundred seventy two.	false	2664.48	2665.62	13
422_122949_000017_000001	Signs of nobility: never to think of lowering our duties to the rank of duties for everybody; to be unwilling to renounce or to share our responsibilities; to count our prerogatives, and the exercise of them, among our DUTIES.	Signs of nobility: never to think of lowering our duties to the rank of duties for everybody; to be unwilling to renounce or to share our responsibilities; to count our prerogatives, and the exercise of them, among our DUTIES.	false	2665.62	2680.5	16
422_122949_000018_000000	273.	two hundred seventy three.	false	2680.5	2682.36	20.976068
422_122949_000018_000001	A man who strives after great things, looks upon every one whom he encounters on his way either as a means of advance, or a delay and hindrance--or as a temporary resting-place.	A man who strives after great things, looks upon every one whom he encounters on his way either as a means of advance, or a delay and hindrance-or as a temporary resting place.	false	2682.36	2696.25	18
422_122949_000018_000002	His peculiar lofty BOUNTY to his fellow-men is only possible when he attains his elevation and dominates.	His peculiar lofty BOUNTY to his fellow men is only possible when he attains his elevation and dominates.	false	2696.25	2703.51	16
422_122949_000018_000003	Impatience, and the consciousness of being always condemned to comedy up to that time--for even strife is a comedy, and conceals the end, as every means does--spoil all intercourse for him; this kind of man is acquainted with solitude, and what is most poisonous in it.	Impatience, and the consciousness of being always condemned to comedy up to that time-for even strife is a comedy, and conceals the end, as every means does-spoil all intercourse for him; this kind of man is acquainted with solitude, and what is most poisonous in it.	false	2703.51	2722.92	18.951351
422_122949_000019_000000	274.	two hundred seventy four.	false	2722.92	2725.26	13
422_122949_000019_000001	THE PROBLEM OF THOSE WHO WAIT.--Happy chances are necessary, and many incalculable elements, in order that a higher man in whom the solution of a problem is dormant, may yet take action, or "break forth," as one might say--at the right moment.	THE PROBLEM OF THOSE w h o WAIT.--Happy chances are necessary, and many incalculable elements, in order that a higher man in whom the solution of a problem is dormant, may yet take action, or "break forth," as one might say-at the right moment.	false	2725.26	2740.98	17
422_122949_000019_000002	On an average it DOES NOT happen; and in all corners of the earth there are waiting ones sitting who hardly know to what extent they are waiting, and still less that they wait in vain.	On an average it DOES NOT happen; and in all corners of the earth there are waiting ones sitting who hardly know to what extent they are waiting, and still less that they wait in vain.	false	2740.98	2748.63	13
422_122949_000019_000003	Occasionally, too, the waking call comes too late--the chance which gives "permission" to take action--when their best youth, and strength for action have been used up in sitting still; and how many a one, just as he "sprang up," has found with horror that his limbs are benumbed and his spirits are now too heavy!	Occasionally, too, the waking call comes too late-the chance which gives "permission" to take action-when their best youth, and strength for action have been used up in sitting still; and how many a one, just as he "sprang up," has found with horror that his limbs are benumbed and his spirits are now too heavy!	false	2748.63	2773.16	15
422_122949_000019_000004	"It is too late," he has said to himself--and has become self-distrustful and henceforth for ever useless.--In the domain of genius, may not the "Raphael without hands" (taking the expression in its widest sense) perhaps not be the exception, but the rule?--Perhaps genius is by no means so rare: but rather the five hundred HANDS which it requires in order to tyrannize over the [GREEK INSERTED HERE], "the right time"--in order to take chance by the forelock!	"It is too late," he has said to himself-and has become self distrustful and henceforth for ever useless.--In the domain of genius, may not the "Raphael without hands" (taking the expression in its widest sense) perhaps not be the exception, but the rule?--Perhaps genius is by no means so rare: but rather the five hundred HANDS which it requires in order to tyrannize over the [GREEK INSERTED HERE], "the right time"--in order to take chance by the forelock!	false	2773.16	2804.52	17.464155
422_122949_000020_000000	275.	two hundred seventy five.	false	2804.52	2806.23	13
422_122949_000020_000001	He who does not WISH to see the height of a man, looks all the more sharply at what is low in him, and in the foreground--and thereby betrays himself.	He who does not WISH to see the height of a man, looks all the more sharply at what is low in him, and in the foreground-and thereby betrays himself.	false	2806.23	2819.85	15
422_122949_000021_000000	276.	two hundred seventy six.	false	2819.85	2821.92	9
422_122949_000021_000001	In all kinds of injury and loss the lower and coarser soul is better off than the nobler soul: the dangers of the latter must be greater, the probability that it will come to grief and perish is in fact immense, considering the multiplicity of the conditions of its existence.--In a lizard a finger grows again which has been lost; not so in man.--	In all kinds of injury and loss the lower and coarser soul is better off than the nobler soul: the dangers of the latter must be greater, the probability that it will come to grief and perish is in fact immense, considering the multiplicity of the conditions of its existence.--In a lizard a finger grows again which has been lost; not so in man.--	false	2821.92	2858.43	18
422_122949_000022_000000	277.	two hundred seventy seven.	false	2858.43	2860.5	19.141092
422_122949_000022_000001	It is too bad!	It is too bad!	false	2860.5	2862.39	8
422_122949_000022_000002	Always the old story!	Always the old story!	false	2862.39	2864.19	18.085344
422_122949_000022_000003	When a man has finished building his house, he finds that he has learnt unawares something which he OUGHT absolutely to have known before he--began to build.	When a man has finished building his house, he finds that he has learnt unawares something which he OUGHT absolutely to have known before he-began to build.	false	2864.19	2874.03	13
422_122949_000022_000004	The eternal, fatal "Too late!"	The eternal, fatal "Too late!"	false	2874.03	2875.83	15
422_122949_000022_000005	The melancholia of everything COMPLETED--!	The melancholia of everything COMPLETED-!	false	2875.83	2877.66	7
422_122949_000023_000000	278.--Wanderer, who art thou?	two hundred seventy eight.--Wanderer, who art thou?	false	2877.66	2880.6	10
422_122949_000023_000001	I see thee follow thy path without scorn, without love, with unfathomable eyes, wet and sad as a plummet which has returned to the light insatiated out of every depth--what did it seek down there?--with a bosom that never sighs, with lips that conceal their loathing, with a hand which only slowly grasps: who art thou?	I see thee follow thy path without scorn, without love, with unfathomable eyes, wet and sad as a plummet which has returned to the light insatiated out of every depth-what did it seek down there?--with a bosom that never sighs, with lips that conceal their loathing, with a hand which only slowly grasps: who art thou?	false	2880.6	2899.59	21.293514
422_122949_000023_000002	what hast thou done?	what hast thou done?	false	2899.59	2900.7	23
422_122949_000023_000003	Rest thee here: this place has hospitality for every one--refresh thyself!	Rest thee here: this place has hospitality for every one-refresh thyself!	false	2900.7	2904.87	19.58234
422_122949_000023_000004	And whoever thou art, what is it that now pleases thee?	And whoever thou art, what is it that now pleases thee?	false	2904.87	2909.49	12
422_122949_000023_000005	What will serve to refresh thee?	What will serve to refresh thee?	false	2909.49	2911.62	13
422_122949_000023_000006	Only name it, whatever I have I offer thee!	Only name it, whatever I have I offer thee!	false	2911.62	2914.83	16
422_122949_000023_000007	"To refresh me?	"To refresh me?	false	2914.83	2915.88	30.152422
422_122949_000023_000008	To refresh me?	To refresh me?	false	2915.88	2916.96	12
422_122949_000023_000009	Oh, thou prying one, what sayest thou!	Oh, thou prying one, what sayest thou!	false	2916.96	2919.45	13
422_122949_000023_000010	But give me, I pray thee---" What?	But give me, I pray thee---" What?	false	2919.45	2921.94	16
422_122949_000023_000011	what?	what?	false	2921.94	2922.3	12
422_122949_000023_000012	Speak out! "Another mask!	Speak out! "Another mask!	false	2922.3	2923.74	21.255806
422_122949_000023_000013	A second mask!"	A second mask!"	false	2923.74	2924.79	13.31594
422_122949_000024_000000	279.	two hundred seventy nine.	false	2924.79	2926.23	6
422_122949_000024_000001	Men of profound sadness betray themselves when they are happy: they have a mode of seizing upon happiness as though they would choke and strangle it, out of jealousy--ah, they know only too well that it will flee from them!	Men of profound sadness betray themselves when they are happy: they have a mode of seizing upon happiness as though they would choke and strangle it, out of jealousy-ah, they know only too well that it will flee from them!	false	2926.23	2935.02	14
422_122949_000025_000000	280.	two hundred eighty.	false	2935.02	2936.01	7
422_122949_000025_000001	"Bad!	"Bad!	false	2936.01	2936.34	8
422_122949_000025_000002	Bad!	Bad!	false	2936.34	2936.67	9
422_122949_000025_000003	What?	What?	false	2936.67	2937	2
422_122949_000025_000004	Does he not--go back?" Yes!	Does he not-go back?" Yes!	false	2937	2938.95	17
422_122949_000025_000005	But you misunderstand him when you complain about it.	But you misunderstand him when you complain about it.	false	2938.95	2942.04	15.676474
422_122949_000025_000006	He goes back like every one who is about to make a great spring.	He goes back like every one who is about to make a great spring.	false	2942.04	2946.3	13
422_122949_000026_000000	281.--"Will people believe it of me?	two hundred eighty one.--"Will people believe it of me?	false	2946.3	2949.69	14.589925
422_122949_000026_000001	But I insist that they believe it of me: I have always thought very unsatisfactorily of myself and about myself, only in very rare cases, only compulsorily, always without delight in 'the subject,' ready to digress from 'myself,' and always without faith in the result, owing to an unconquerable distrust of the POSSIBILITY of self-knowledge, which has led me so far as to feel a CONTRADICTIO IN ADJECTO even in the idea of 'direct knowledge' which theorists allow themselves:--this matter of fact is almost the most certain thing I know about myself.	But I insist that they believe it of me: I have always thought very unsatisfactorily of myself and about myself, only in very rare cases, only compulsorily, always without delight in 'the subject,' ready to digress from 'myself,' and always without faith in the result, owing to an unconquerable distrust of the POSSIBILITY of self knowledge, which has led me so far as to feel a c o n t r a d i c t i o IN a d j e c t o even in the idea of 'direct knowledge' which theorists allow themselves:--this matter of fact is almost the most certain thing I know about myself.	false	2949.69	2984.85	16
422_122949_000026_000002	There must be a sort of repugnance in me to BELIEVE anything definite about myself.--Is there perhaps some enigma therein?	There must be a sort of repugnance in me to BELIEVE anything definite about myself.--Is there perhaps some enigma therein?	false	2984.85	2991.66	11
422_122949_000026_000003	Probably; but fortunately nothing for my own teeth.--Perhaps it betrays the species to which I belong?--but not to myself, as is sufficiently agreeable to me."	Probably; but fortunately nothing for my own teeth.--Perhaps it betrays the species to which I belong?--but not to myself, as is sufficiently agreeable to me."	false	2991.66	3001.53	21.70156
422_122949_000027_000000	282.--"But what has happened to you?"--"I do not know," he said, hesitatingly; "perhaps the Harpies have flown over my table."--It sometimes happens nowadays that a gentle, sober, retiring man becomes suddenly mad, breaks the plates, upsets the table, shrieks, raves, and shocks everybody--and finally withdraws, ashamed, and raging at himself--whither? for what purpose?	two hundred eighty two.--"But what has happened to you?"--"I do not know," he said, hesitatingly; "perhaps the Harpies have flown over my table."--It sometimes happens nowadays that a gentle, sober, retiring man becomes suddenly mad, breaks the plates, upsets the table, shrieks, raves, and shocks everybody-and finally withdraws, ashamed, and raging at himself-whither? for what purpose?	false	3001.53	3024.51	19.228079
422_122949_000027_000001	To famish apart?	To famish apart?	false	3024.51	3025.91	15.607112
422_122949_000027_000002	To suffocate with his memories?--To him who has the desires of a lofty and dainty soul, and only seldom finds his table laid and his food prepared, the danger will always be great--nowadays, however, it is extraordinarily so. Thrown into the midst of a noisy and plebeian age, with which he does not like to eat out of the same dish, he may readily perish of hunger and thirst--or, should he nevertheless finally "fall to," of sudden nausea.--We have probably all sat at tables to which we did not belong; and precisely the most spiritual of us, who are most difficult to nourish, know the dangerous DYSPEPSIA which originates from a sudden insight and disillusionment about our food and our messmates--the AFTER-DINNER NAUSEA.	To suffocate with his memories?--To him who has the desires of a lofty and dainty soul, and only seldom finds his table laid and his food prepared, the danger will always be great-nowadays, however, it is extraordinarily so. Thrown into the midst of a noisy and plebeian age, with which he does not like to eat out of the same dish, he may readily perish of hunger and thirst-or, should he nevertheless finally "fall to," of sudden nausea.--We have probably all sat at tables to which we did not belong; and precisely the most spiritual of us, who are most difficult to nourish, know the dangerous DYSPEPSIA which originates from a sudden insight and disillusionment about our food and our messmates-the AFTER DINNER NAUSEA.	false	3025.91	3072.36	17
422_122949_000028_000000	283.	two hundred eighty three.	false	3072.36	3073.26	19
422_122949_000028_000001	If one wishes to praise at all, it is a delicate and at the same time a noble self-control, to praise only where one DOES NOT agree--otherwise in fact one would praise oneself, which is contrary to good taste:--a self-control, to be sure, which offers excellent opportunity and provocation to constant MISUNDERSTANDING.	If one wishes to praise at all, it is a delicate and at the same time a noble self control, to praise only where one DOES NOT agree-otherwise in fact one would praise oneself, which is contrary to good taste:--a self control, to be sure, which offers excellent opportunity and provocation to constant MISUNDERSTANDING.	false	3073.26	3097.65	18
422_122949_000028_000002	To be able to allow oneself this veritable luxury of taste and morality, one must not live among intellectual imbeciles, but rather among men whose misunderstandings and mistakes amuse by their refinement--or one will have to pay dearly for it!--"He praises me, THEREFORE he acknowledges me to be right"--this asinine method of inference spoils half of the life of us recluses, for it brings the asses into our neighbourhood and friendship.	To be able to allow oneself this veritable luxury of taste and morality, one must not live among intellectual imbeciles, but rather among men whose misunderstandings and mistakes amuse by their refinement-or one will have to pay dearly for it!--"He praises me, THEREFORE he acknowledges me to be right"--this asinine method of inference spoils half of the life of us recluses, for it brings the asses into our neighbourhood and friendship.	false	3097.65	3129.87	20.101896
422_122949_000029_000000	284.	two hundred eighty four.	false	3129.87	3131.67	20.572372
422_122949_000029_000001	To live in a vast and proud tranquility; always beyond...	To live in a vast and proud tranquility; always beyond...	false	3131.67	3134.19	16
422_122949_000029_000002	To have, or not to have, one's emotions, one's For and Against, according to choice; to lower oneself to them for hours; to SEAT oneself on them as upon horses, and often as upon asses:--for one must know how to make use of their stupidity as well as of their fire.	To have, or not to have, one's emotions, one's For and Against, according to choice; to lower oneself to them for hours; to SEAT oneself on them as upon horses, and often as upon asses:--for one must know how to make use of their stupidity as well as of their fire.	false	3134.19	3159.66	18
422_122949_000029_000003	To conserve one's three hundred foregrounds; also one's black spectacles: for there are circumstances when nobody must look into our eyes, still less into our "motives." And to choose for company that roguish and cheerful vice, politeness.	To conserve one's three hundred foregrounds; also one's black spectacles: for there are circumstances when nobody must look into our eyes, still less into our "motives." And to choose for company that roguish and cheerful vice, politeness.	false	3159.66	3171	20.399384
422_122949_000029_000004	And to remain master of one's four virtues, courage, insight, sympathy, and solitude.	And to remain master of one's four virtues, courage, insight, sympathy, and solitude.	false	3171	3175.05	12
422_122949_000029_000005	For solitude is a virtue with us, as a sublime bent and bias to purity, which divines that in the contact of man and man--"in society"--it must be unavoidably impure.	For solitude is a virtue with us, as a sublime bent and bias to purity, which divines that in the contact of man and man-"in society"--it must be unavoidably impure.	false	3175.05	3186.18	15
422_122949_000029_000006	All society makes one somehow, somewhere, or sometime--"commonplace."	All society makes one somehow, somewhere, or sometime-"commonplace."	false	3186.18	3189.45	12
422_122949_000030_000000	285.	two hundred eighty five.	false	3189.45	3190.89	11
422_122949_000030_000001	The greatest events and thoughts--the greatest thoughts, however, are the greatest events--are longest in being comprehended: the generations which are contemporary with them do not EXPERIENCE such events--they live past them.	The greatest events and thoughts-the greatest thoughts, however, are the greatest events-are longest in being comprehended: the generations which are contemporary with them do not EXPERIENCE such events-they live past them.	false	3190.89	3204.09	16
422_122949_000030_000002	Something happens there as in the realm of stars.	Something happens there as in the realm of stars.	false	3204.09	3207.75	19.603565
422_122949_000030_000003	The light of the furthest stars is longest in reaching man; and before it has arrived man DENIES--that there are stars there.	The light of the furthest stars is longest in reaching man; and before it has arrived man DENIES-that there are stars there.	false	3207.75	3216.27	20
422_122949_000030_000004	"How many centuries does a mind require to be understood?"--that is also a standard, one also makes a gradation of rank and an etiquette therewith, such as is necessary for mind and for star.	"How many centuries does a mind require to be understood?"--that is also a standard, one also makes a gradation of rank and an etiquette therewith, such as is necessary for mind and for star.	false	3216.27	3225.66	15
422_122949_000031_000000	286.	two hundred eighty six.	false	3225.66	3226.32	19.24563
422_122949_000031_000001	"Here is the prospect free, the mind exalted." [FOOTNOTE: Goethe's "Faust," Part II, Act V. The words of Dr. Marianus.]--But there is a reverse kind of man, who is also upon a height, and has also a free prospect--but looks DOWNWARDS.	"Here is the prospect free, the mind exalted." [FOOTNOTE: Goethe's "Faust," Part two, Act five The words of dr Marianus.]--But there is a reverse kind of man, who is also upon a height, and has also a free prospect-but looks DOWNWARDS.	false	3226.32	3237.78	12
422_122949_000032_000000	287.	two hundred eighty seven.	false	3237.78	3240.45	20.842012
422_122949_000032_000001	What is noble?	What is noble?	false	3240.45	3241.86	10
422_122949_000032_000002	What does the word "noble" still mean for us nowadays?	What does the word "noble" still mean for us nowadays?	false	3241.86	3247.08	19.254265
422_122949_000032_000003	How does the noble man betray himself, how is he recognized under this heavy overcast sky of the commencing plebeianism, by which everything is rendered opaque and leaden?--It is not his actions which establish his claim--actions are always ambiguous, always inscrutable; neither is it his "works." One finds nowadays among artists and scholars plenty of those who betray by their works that a profound longing for nobleness impels them; but this very NEED of nobleness is radically different from the needs of the noble soul itself, and is in fact the eloquent and dangerous sign of the lack thereof.	How does the noble man betray himself, how is he recognized under this heavy overcast sky of the commencing plebeianism, by which everything is rendered opaque and leaden?--It is not his actions which establish his claim-actions are always ambiguous, always inscrutable; neither is it his "works." One finds nowadays among artists and scholars plenty of those who betray by their works that a profound longing for nobleness impels them; but this very NEED of nobleness is radically different from the needs of the noble soul itself, and is in fact the eloquent and dangerous sign of the lack thereof.	false	3247.08	3290.03	17
422_122949_000032_000004	It is not the works, but the BELIEF which is here decisive and determines the order of rank--to employ once more an old religious formula with a new and deeper meaning--it is some fundamental certainty which a noble soul has about itself, something which is not to be sought, is not to be found, and perhaps, also, is not to be lost.--THE NOBLE SOUL HAS REVERENCE FOR ITSELF.--	It is not the works, but the BELIEF which is here decisive and determines the order of rank-to employ once more an old religious formula with a new and deeper meaning-it is some fundamental certainty which a noble soul has about itself, something which is not to be sought, is not to be found, and perhaps, also, is not to be lost.--THE NOBLE SOUL HAS REVERENCE FOR ITSELF.--	false	3290.03	3317.25	19.196669
422_122949_000033_000000	288.	two hundred eighty eight.	false	3317.25	3318.63	9
422_122949_000033_000001	There are men who are unavoidably intellectual, let them turn and twist themselves as they will, and hold their hands before their treacherous eyes--as though the hand were not a betrayer; it always comes out at last that they have something which they hide--namely, intellect.	There are men who are unavoidably intellectual, let them turn and twist themselves as they will, and hold their hands before their treacherous eyes-as though the hand were not a betrayer; it always comes out at last that they have something which they hide-namely, intellect.	false	3318.63	3337.89	16
422_122949_000033_000002	One of the subtlest means of deceiving, at least as long as possible, and of successfully representing oneself to be stupider than one really is--which in everyday life is often as desirable as an umbrella,--is called ENTHUSIASM, including what belongs to it, for instance, virtue.	One of the subtlest means of deceiving, at least as long as possible, and of successfully representing oneself to be stupider than one really is-which in everyday life is often as desirable as an umbrella,--is called ENTHUSIASM, including what belongs to it, for instance, virtue.	false	3337.89	3352.8	18
422_122949_000033_000003	For as Galiani said, who was obliged to know it: VERTU EST ENTHOUSIASME.	For as Galiani said, who was obliged to know it: VERTU EST e n t h o u s i a s m e.	false	3352.8	3361.32	14
422_122949_000034_000000	289.	two hundred eighty nine.	false	3361.32	3362.7	11
422_122949_000034_000001	In the writings of a recluse one always hears something of the echo of the wilderness, something of the murmuring tones and timid vigilance of solitude; in his strongest words, even in his cry itself, there sounds a new and more dangerous kind of silence, of concealment.	In the writings of a recluse one always hears something of the echo of the wilderness, something of the murmuring tones and timid vigilance of solitude; in his strongest words, even in his cry itself, there sounds a new and more dangerous kind of silence, of concealment.	false	3362.7	3378.42	14
422_122949_000034_000002	He who has sat day and night, from year's end to year's end, alone with his soul in familiar discord and discourse, he who has become a cave-bear, or a treasure-seeker, or a treasure-guardian and dragon in his cave--it may be a labyrinth, but can also be a gold-mine--his ideas themselves eventually acquire a twilight-colour of their own, and an odour, as much of the depth as of the mould, something uncommunicative and repulsive, which blows chilly upon every passer-by.	He who has sat day and night, from year's end to year's end, alone with his soul in familiar discord and discourse, he who has become a cave bear, or a treasure seeker, or a treasure guardian and dragon in his cave-it may be a labyrinth, but can also be a gold mine-his ideas themselves eventually acquire a twilight colour of their own, and an odour, as much of the depth as of the mould, something uncommunicative and repulsive, which blows chilly upon every passer by.	false	3378.42	3405.81	13
422_122949_000034_000003	The recluse does not believe that a philosopher--supposing that a philosopher has always in the first place been a recluse--ever expressed his actual and ultimate opinions in books: are not books written precisely to hide what is in us?--indeed, he will doubt whether a philosopher CAN have "ultimate and actual" opinions at all; whether behind every cave in him there is not, and must necessarily be, a still deeper cave: an ampler, stranger, richer world beyond the surface, an abyss behind every bottom, beneath every "foundation." Every philosophy is a foreground philosophy--this is a recluse's verdict: "There is something arbitrary in the fact that the PHILOSOPHER came to a stand here, took a retrospect, and looked around; that he HERE laid his spade aside and did not dig any deeper--there is also something suspicious in it." Every philosophy also CONCEALS a philosophy; every opinion is also a LURKING-PLACE, every word is also a MASK.	The recluse does not believe that a philosopher-supposing that a philosopher has always in the first place been a recluse-ever expressed his actual and ultimate opinions in books: are not books written precisely to hide what is in us?--indeed, he will doubt whether a philosopher CAN have "ultimate and actual" opinions at all; whether behind every cave in him there is not, and must necessarily be, a still deeper cave: an ampler, stranger, richer world beyond the surface, an abyss behind every bottom, beneath every "foundation." Every philosophy is a foreground philosophy-this is a recluse's verdict: "There is something arbitrary in the fact that the PHILOSOPHER came to a stand here, took a retrospect, and looked around; that he HERE laid his spade aside and did not dig any deeper-there is also something suspicious in it." Every philosophy also CONCEALS a philosophy; every opinion is also a LURKING PLACE, every word is also a MASK.	false	3405.81	3456.33	18
422_122949_000035_000000	290.	two hundred ninety.	false	3456.33	3457.47	19
422_122949_000035_000001	Every deep thinker is more afraid of being understood than of being misunderstood.	Every deep thinker is more afraid of being understood than of being misunderstood.	false	3457.47	3463.49	20
422_122949_000035_000002	The latter perhaps wounds his vanity; but the former wounds his heart, his sympathy, which always says: "Ah, why would you also have as hard a time of it as I have?"	The latter perhaps wounds his vanity; but the former wounds his heart, his sympathy, which always says: "Ah, why would you also have as hard a time of it as I have?"	false	3463.49	3471.57	14
422_122949_000036_000000	291.	two hundred ninety one.	false	3471.57	3472.2	1
422_122949_000036_000001	Man, a COMPLEX, mendacious, artful, and inscrutable animal, uncanny to the other animals by his artifice and sagacity, rather than by his strength, has invented the good conscience in order finally to enjoy his soul as something SIMPLE; and the whole of morality is a long, audacious falsification, by virtue of which generally enjoyment at the sight of the soul becomes possible.	Man, a COMPLEX, mendacious, artful, and inscrutable animal, uncanny to the other animals by his artifice and sagacity, rather than by his strength, has invented the good conscience in order finally to enjoy his soul as something SIMPLE; and the whole of morality is a long, audacious falsification, by virtue of which generally enjoyment at the sight of the soul becomes possible.	false	3472.2	3488.91	16
422_122949_000036_000002	From this point of view there is perhaps much more in the conception of "art" than is generally believed.	From this point of view there is perhaps much more in the conception of "art" than is generally believed.	false	3488.91	3495	13
422_122949_000037_000000	292.	two hundred ninety two.	false	3495	3496.61	17.839678
