1919_142785_000000_000000	_Time_.--Altogether, 1/2 hour.	underscore Time underscore.--Altogether, one half hour.	false	63.21	66.58	22.486675
1919_142785_000124_000000	_Time_,--About 1/4 hour to poach in boiling water.	underscore Time underscore,--About one quarter hour to poach in boiling water.	false	2047.08	2051.13	25.508883
1919_142785_000125_000000	_Sufficient_, 1/2 lb. of veal or other meat, with other ingredients in proportion, for 1 entree.	underscore Sufficient underscore, one half l b of veal or other meat, with other ingredients in proportion, for one entree.	false	2051.13	2057.67	22.243746
1919_142785_000126_000000	_Note_.--The French are noted for their skill in making forcemeats; one of the principal causes of their superiority in this respect being, that they pound all the ingredients so diligently and thoroughly.	underscore Note underscore.--The French are noted for their skill in making forcemeats; one of the principal causes of their superiority in this respect being, that they pound all the ingredients so diligently and thoroughly.	false	2057.67	2070.58	21.091719
1919_142785_000126_000001	Any one with the slightest pretensions to refined cookery, must, in this particular, implicitly follow the example of our friends across the Channel.	Any one with the slightest pretensions to refined cookery, must, in this particular, implicitly follow the example of our friends across the Channel.	true	2071.37	2081.8	23.21748
1919_142785_000127_000000	FORCEMEAT, or QUENELLES, FOR TURTLE SOUP.	FORCEMEAT, or QUENELLES, FOR TURTLE SOUP.	true	2081.9	2084.64	27.197248
1919_142785_000128_000000	(_See No_. 189.)	(underscore See No underscore. one hundred eighty nine.)	false	2084.64	2087.55	26.563704
1919_142785_000129_000000	423.	four hundred twenty three.	false	2087.55	2090.08	23.386663
1919_142785_000129_000001	SOYER'S RECIPE FOR FORCEMEATS.--Take a pound and a half of lean veal from the fillet, and cut it in long thin slices; scrape with a knife till nothing but the fibre remains; put it in a mortar, pound it 10 minutes, or until in a puree; pass it through a wire sieve (use the remainder in stock); then take 1 pound of good fresh beef suet, which skin, shred, and chop very fine; put it in a mortar and pound it; then add 6 oz. of panada (that is, bread soaked in milk and boiled till nearly dry) with the suet; pound them well together, and add the veal; season with a teaspoonful of salt, a quarter one of pepper, half that of nutmeg; work all well together; then add four eggs by degrees, continually pounding the contents of the mortar.	SOYER'S RECIPE FOR f o r c e m e a t s.--Take a pound and a half of lean veal from the fillet, and cut it in long thin slices; scrape with a knife till nothing but the fibre remains; put it in a mortar, pound it ten minutes, or until in a puree; pass it through a wire sieve (use the remainder in stock); then take one pound of good fresh beef suet, which skin, shred, and chop very fine; put it in a mortar and pound it; then add six ounces. of panada (that is, bread soaked in milk and boiled till nearly dry) with the suet; pound them well together, and add the veal; season with a teaspoonful of salt, a quarter one of pepper, half that of nutmeg; work all well together; then add four eggs by degrees, continually pounding the contents of the mortar.	false	2091.62	2147.53	22.180252
1919_142785_000129_000002	When well mixed, take a small piece in a spoon, and poach it in some boiling water; and if it is delicate, firm, and of a good flavour, it is ready for use.	When well mixed, take a small piece in a spoon, and poach it in some boiling water; and if it is delicate, firm, and of a good flavour, it is ready for use.	false	2148.29	2158.21	24.939444
1919_142785_000130_000000	FRIED BREAD CRUMBS.	FRIED BREAD CRUMBS.	true	2160.41	2162.01	28.168472
1919_142785_000131_000000	424.	four hundred twenty four.	false	2162.01	2163.58	21.664463
1919_142785_000131_000001	Cut the bread into thin slices, place them in a cool oven overnight, and when thoroughly dry and crisp, roll them down into fine crumbs.	Cut the bread into thin slices, place them in a cool oven overnight, and when thoroughly dry and crisp, roll them down into fine crumbs.	true	2164.43	2173.93	20.658949
1919_142785_000131_000002	Put some lard, or clarified dripping, into a frying-pan; bring it to the boiling-point, throw in the crumbs, and fry them very quickly. Directly they are done, lift them out with a slice, and drain them before the fire from all greasy moisture.	Put some lard, or clarified dripping, into a frying pan; bring it to the boiling point, throw in the crumbs, and fry them very quickly. Directly they are done, lift them out with a slice, and drain them before the fire from all greasy moisture.	true	2174.03	2190.22	22.313269
1919_142785_000131_000003	When quite crisp, they are ready for use.	When quite crisp, they are ready for use.	true	2190.59	2193.28	24.041422
1919_142785_000131_000004	The fat they are fried in should be clear, and the crumbs should not have the slightest appearance or taste of having been, in the least degree, burnt.	The fat they are fried in should be clear, and the crumbs should not have the slightest appearance or taste of having been, in the least degree, burnt.	true	2193.92	2201.53	18
1919_142785_000132_000000	FRIED SIPPETS OF BREAD (for Garnishing many Dishes).	FRIED s i p p e t s OF BREAD (for Garnishing many Dishes).	false	2203.22	2206.56	24.81381
1919_142785_000133_000000	425.	four hundred twenty five.	false	2206.56	2209.45	21.480335
1919_142785_000133_000001	Cut the bread into thin slices, and stamp them out in whatever shape you like,--rings, crosses, diamonds, &c. &c.	Cut the bread into thin slices, and stamp them out in whatever shape you like,--rings, crosses, diamonds, and c. and c.	false	2209.49	2218.17	25.129078
1919_142785_000133_000002	Fry them in the same manner as the bread crumbs, in clear boiling lard, or clarified dripping, and drain them until thoroughly crisp before the fire.	Fry them in the same manner as the bread crumbs, in clear boiling lard, or clarified dripping, and drain them until thoroughly crisp before the fire.	true	2218.17	2226.88	23.705164
1919_142785_000133_000003	When variety is desired, fry some of a pale colour, and others of a darker hue.	When variety is desired, fry some of a pale colour, and others of a darker hue.	true	2227.55	2232.61	20.613844
1919_142785_000134_000000	FRIED BREAD FOR BORDERS.	FRIED BREAD FOR BORDERS.	true	2234.81	2236.44	23.545734
1919_142785_000135_000000	426.	four hundred twenty six.	false	2236.44	2238.25	21.908106
1919_142785_000135_000001	Proceed as above, by frying some slices of bread cut in any fanciful shape.	Proceed as above, by frying some slices of bread cut in any fanciful shape.	true	2238.53	2243.59	22.570408
1919_142785_000135_000002	When quite crisp, dip one side of the sippet into the beaten white of an egg mixed with a little flour, and place it on the edge of the dish.	When quite crisp, dip one side of the sippet into the beaten white of an egg mixed with a little flour, and place it on the edge of the dish.	true	2243.81	2252.11	24.18936
1919_142785_000135_000003	Continue in this manner till the border is completed, arranging the sippets a pale and a dark one alternately.	Continue in this manner till the border is completed, arranging the sippets a pale and a dark one alternately.	true	2252.51	2259.4	24.706816
1919_142785_000136_000000	GENEVESE SAUCE FOR SALMON, TROUT, &c.	GENEVESE SAUCE FOR SALMON, TROUT, and c.	false	2260.76	2264.13	20.13143
1919_142785_000137_000000	427.	four hundred twenty seven.	false	2264.13	2266.51	19.819944
1919_142785_000137_000001	INGREDIENTS.--1 small carrot, a small faggot of sweet herbs, including parsley, 1 onion, 5 or 6 mushrooms (when obtainable), 1 bay-leaf, 6 cloves, 1 blade of mace, 2 oz. of butter, 1 glass of sherry, 1-1/2 pint of white stock, No. 107, thickening of butter and flour, the juice of half a lemon.	INGREDIENTS.-minus one small carrot, a small faggot of sweet herbs, including parsley, one onion, five or six mushrooms (when obtainable), one bay leaf, six cloves, one blade of mace, two ounces. of butter, one glass of sherry, one minus one half pint of white stock, no one hundred seven, thickening of butter and flour, the juice of half a lemon.	false	2267.42	2292.93	21.119581
1919_142785_000138_000000	_Mode_.--Cut up the onion and carrot into small rings, and put them into a stewpan with the herbs, mushrooms, bay-leaf, cloves, and mace; add the butter, and simmer the whole very gently over a slow fire until the onion is quite tender.	underscore Mode underscore.--Cut up the onion and carrot into small rings, and put them into a stewpan with the herbs, mushrooms, bay leaf, cloves, and mace; add the butter, and simmer the whole very gently over a slow fire until the onion is quite tender.	false	2292.93	2310.82	23.083529
1919_142785_000138_000001	Pour in the stock and sherry, and stew slowly for 1 hour, when strain it off into a clean saucepan.	Pour in the stock and sherry, and stew slowly for one hour, when strain it off into a clean saucepan.	false	2311.28	2318.29	21.736408
1919_142785_000138_000002	Now make a thickening of butter and flour, put it to the sauce, stir it over the fire until perfectly smooth and mellow, add the lemon-juice, give one boil, when it will be ready for table.	Now make a thickening of butter and flour, put it to the sauce, stir it over the fire until perfectly smooth and mellow, add the lemon juice, give one boil, when it will be ready for table.	false	2318.63	2388.6	21.501528
